path,author_id,work_id,seq,text_filename
cards/000042/files/43536_ruby_23735.zip,000042,43536,23735,zakkan.txt
cards/000305/files/43537_ruby_40743.zip,000305,43537,40743,byosho_rokushaku.txt
cards/000293/files/43538_txt_28224.zip,000293,43538,28224,uguisu.txt
cards/000293/files/43539_txt_28222.zip,000293,43539,28222,futatsuno_atama.txt
cards/000179/files/43540_ruby_16695.zip,000179,43540,16695,tantei_monogatari.txt
cards/000260/files/43541_ruby_16694.zip,000260,43541,16694,doyle_o_sotosu.txt
cards/000082/files/43542_ruby_18789.zip,000082,43542,18789,umigame.txt
cards/000082/files/43543_ruby_18825.zip,000082,43543,18825,oshidorikagami.txt
cards/000082/files/43544_ruby_18826.zip,000082,43544,18826,kanegafuchi.txt
cards/000082/files/43545_ruby_18821.zip,000082,43545,18821,komainu.txt
cards/000082/files/43546_ruby_18822.zip,000082,43546,18822,suiki.txt
cards/000082/files/43547_ruby_18792.zip,000082,43547,18792,yubiwa_hitotsu.txt
cards/000082/files/43548_ruby_18794.zip,000082,43548,18794,rikonbyo.txt
cards/001149/files/43550_ruby_17062.zip,001149,43550,17062,principle_of_population_00.txt
cards/001149/files/43551_ruby_17188.zip,001149,43551,17188,principle_of_population_01.txt
cards/001151/files/43552_ruby_23983.zip,001151,43552,23983,tejinashi.txt
cards/001151/files/43553_ruby_23982.zip,001151,43553,23982,ryoyu_akuyu.txt
cards/001096/files/43554_ruby_29725.zip,001096,43554,29725,kongochisanzo.txt
cards/000903/files/43555_ruby_70057.zip,000903,43555,70057,la_parure.txt
cards/000048/files/43556_ruby_18378.zip,000048,43556,18378,gendai_sakka.txt
cards/000255/files/43557_ruby_16981.zip,000255,43557,16981,ayashino_yakata.txt
cards/000255/files/43558_ruby_16984.zip,000255,43558,16984,ichimaieno_onna.txt
cards/000255/files/43559_ruby_16985.zip,000255,43559,16985,inugami_musume.txt
cards/000255/files/43560_ruby_16980.zip,000255,43560,16980,kaiunno_tsuzumi.txt
cards/000255/files/43561_ruby_16986.zip,000255,43561,16986,sarugakyo_densetsu.txt
cards/000255/files/43562_ruby_16982.zip,000255,43562,16982,hekiryu_keizu.txt
cards/000255/files/43563_ruby_16983.zip,000255,43563,16983,hokusaito_yurei.txt
cards/000255/files/43566_ruby_17015.zip,000255,43566,17015,ayashino_mono.txt
cards/000255/files/43567_ruby_17523.zip,000255,43567,17523,seishi_manji_domoe.txt
cards/000042/files/43568_ruby_24442.zip,000042,43568,24442,saijiki_shinchu.txt
cards/000042/files/43569_ruby_24444.zip,000042,43569,24444,natsumesenseino_haiku.txt
